questionId,category,state,lengthDiff,correctLength,maxOtherLength,question,optionA,optionB,optionC,optionD,correctAnswer
IL-007,gdlLicensing,IL,20,35,15,"What are the weeknight curfew hours for Illinois teen drivers?","9pm to 5am","10pm to 6am Sunday through Thursday","11pm to 6am","Midnight to 5am",B
LA-022,duiStateLaws,LA,20,37,17,"What happens if you refuse a BAC test in Louisiana?","Warning only","License suspension for 1 year minimum","30 day suspension","Same as passing",B
ME-036,stateUnique,ME,20,41,21,"Are right turns on red permitted in Maine?","Never","Yes after complete stop unless prohibited","Only outside Portland","Only with arrow",B
MD-014,cellPhone,MD,20,38,18,"What is Maryland cell phone law for all drivers?","No restrictions","Handheld phones banned for all drivers","Texting ban only","Only in work zones",B
MN-010,gdlLicensing,MN,20,43,23,"Is driver education required in Minnesota?","No it is optional","Yes classroom and behind-the-wheel required","Only classroom portion","Only for those under 18",B
MS-005,gdlLicensing,MS,20,35,15,"What are the nighttime restrictions for Mississippi intermediate license holders?","10pm to 5am","10pm to 6am Sunday through Thursday","Midnight to 5am","11pm to 6am",B
NV-014,cellPhone,NV,20,38,18,"What is Nevada cell phone law for all drivers?","No restrictions","Handheld phones banned for all drivers","Texting ban only","Only in work zones",B
NJ-022,duiStateLaws,NJ,20,37,17,"What happens if you refuse a BAC test in New Jersey?","Warning only","Same penalties as if convicted of DWI","90 day suspension","Reduced penalties",B
NM-006,gdlLicensing,NM,20,39,19,"How many passengers can a New Mexico provisional driver carry in first year?","No limit","1 passenger under 21 for first 6 months","2 passengers","Only family members",B
OR-036,stateUnique,OR,20,41,21,"Are right turns on red permitted in Oregon?","Never","Yes after complete stop unless prohibited","Only outside Portland","Only with arrow",B
RI-017,cellPhone,RI,20,28,8,"Does Rhode Island add points for cell phone violations?","No","No points but fines increase","3 points","5 points",B
RI-018,cellPhone,RI,20,40,20,"Can Rhode Island drivers use phones while stopped in traffic?","Yes when stopped","No cannot use handheld even when stopped","Only at red lights","Only for emergencies",B
TX-038,stateUnique,TX,20,41,21,"What should Texas drivers know about the left lane?","Open to all traffic","Left lane is for passing only on highways","Only for trucks","Only during rush hour",B
VA-011,gdlLicensing,VA,20,38,18,"What must Virginia teens complete before road testing?","Nothing additional","Driver education and 45 hours practice","Only written test","Only vision test",B
WA-011,gdlLicensing,WA,20,38,18,"What must Washington teens complete before road testing?","Nothing additional","Driver education and 50 hours practice","Only written test","Only vision test",B
WA-016,cellPhone,WA,20,33,13,"What are the penalties for cell phone violations in Washington?","25 dollars","136 dollars first then increasing","50 dollars","Warning first",B
U-055,rulesOfRoad,ALL,19,48,29,"When can you pass a school bus with flashing red lights?","When going opposite direction on divided highway","When bus driver waves","When no children visible","Never under any circumstances",A
U-089,rulesOfRoad,ALL,19,35,16,"When must you dim your high beams?","Within 500 feet of oncoming traffic","Within 1000 feet","Only in cities","Only when asked",A
U-110,safeDriving,ALL,19,41,22,"What should you do before changing lanes?","Check mirrors only","Signal then check mirrors and blind spots","Just signal","Check blind spots only",B
AK-038,stateUnique,AK,19,41,22,"How many points result in license suspension in Alaska?","8 points in 12 months","10 points in 12 months","12 points in 12 months or 18 in 24 months","15 points",C
AZ-038,stateUnique,AZ,19,31,12,"What happens if you are caught driving on a suspended license due to DUI in Arizona?","Fine only","Aggravated DUI (felony) charges","Warning","Points added",B
FL-012,gdlLicensing,FL,19,41,22,"Does Florida law mandate passenger restrictions for teen drivers?","Yes strict limits","No but AAA recommends limiting passengers","Only in first 6 months","Only at night",B
IN-010,gdlLicensing,IN,19,39,20,"Who can be passengers for Indiana drivers during the first 180 days?","Anyone with seatbelt","Only family spouse or adult 25 or older","One friend under 18","No restrictions",B
IN-013,cellPhone,IN,19,35,16,"What is Indiana's cell phone law for drivers under 21?","Hands-free only","No cell phone use at all except 911","Same as adults","Texting ban only",B
KS-017,cellPhone,KS,19,36,17,"What is the penalty for teen cell phone violations in Kansas?","Warning only","Fine and possible license suspension","Points only","Community service",B
KY-018,cellPhone,KY,19,35,16,"What exception exists for Kentucky cell phone laws?","None","GPS and navigation use is permitted","Calls only","Emergencies only",B
KY-026,duiStateLaws,KY,19,44,25,"What treatment may Kentucky courts require for DUI?","None","Alcohol or substance abuse treatment program","Only for repeat offenders","Community service only",B
LA-013,cellPhone,LA,19,38,19,"What is Louisiana cell phone law for drivers under 18?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
LA-035,stateUnique,LA,19,41,22,"What is Louisiana law regarding school buses?","Stop only on same side","Stop in both directions on two-lane roads","Slow to 20 mph","Stop only if signaled",B
ME-007,gdlLicensing,ME,19,31,12,"After 3 months how many passengers can Maine intermediate drivers carry?","No limit","1 non-family passenger under 21","2 passengers","3 passengers",B
MD-035,stateUnique,MD,19,41,22,"What is Maryland law regarding school buses?","Stop only on same side","Stop in both directions on two-lane roads","Slow to 20 mph","Stop only if signaled",B
MD-036,stateUnique,MD,19,41,22,"Are right turns on red permitted in Maryland?","Never","Yes after complete stop unless prohibited","Only outside Baltimore","Only with arrow",B
MI-013,cellPhone,MI,19,38,19,"What is Michigan cell phone law for Level 1 permit holders?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
MS-035,stateUnique,MS,19,41,22,"What is Mississippi law regarding school buses?","Stop only on same side","Stop in both directions on two-lane roads","Slow to 20 mph","Stop only if signaled",B
MT-018,cellPhone,MT,19,42,23,"Are there local Montana jurisdictions with stricter phone laws?","No state law is uniform","Yes some cities have hands-free ordinances","Only Billings","Only resort areas",B
NE-013,cellPhone,NE,19,38,19,"What is Nebraska cell phone law for permit and POP holders?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
NV-013,cellPhone,NV,19,38,19,"What is Nevada cell phone law for drivers under 18?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
NV-036,stateUnique,NV,19,41,22,"Are right turns on red permitted in Nevada?","Never","Yes after complete stop unless prohibited","Only outside Las Vegas","Only with arrow",B
NH-013,cellPhone,NH,19,38,19,"What is New Hampshire cell phone law for drivers under 18?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
NJ-013,cellPhone,NJ,19,38,19,"What is New Jersey cell phone law for permit and probationary drivers?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
NM-012,gdlLicensing,NM,19,40,21,"What driving log must New Mexico teens maintain?","None required","50-hour practice log certified by parent","10-hour log","Only instructor hours",B
NM-035,stateUnique,NM,19,41,22,"What is New Mexico law regarding school buses?","Stop only on same side","Stop in both directions on two-lane roads","Slow to 20 mph","Stop only if signaled",B
NY-007,gdlLicensing,NY,19,38,19,"How many passengers can a New York junior driver carry?","No limit","Number limited by available seat belts","1 passenger","Only family members",B
NY-013,cellPhone,NY,19,38,19,"What is New York cell phone law for permit and junior license holders?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
NC-013,cellPhone,NC,19,38,19,"What is North Carolina cell phone law for drivers under 18?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
NC-038,stateUnique,NC,19,48,29,"What is unique about North Carolina traffic courts?","Standard courts","No right to jury trial for most traffic offenses","Always jury available","Federal court handles traffic",B
ND-022,duiStateLaws,ND,19,36,17,"What happens if you refuse a BAC test in North Dakota?","Warning only","180-day to 3-year license suspension","30 day suspension","Same as passing",B
OH-005,gdlLicensing,OH,19,30,11,"What are the nighttime restrictions for Ohio probationary drivers?","10pm to 5am","Midnight to 6am for first year","11pm to 5am","9pm to 6am",B
OH-013,cellPhone,OH,19,38,19,"What is Ohio cell phone law for drivers under 18?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
OR-005,gdlLicensing,OR,19,30,11,"What are the nighttime restrictions for Oregon provisional drivers?","10pm to 5am","Midnight to 5am for first year","11pm to 5am","9pm to 6am",B
PA-028,insurance,PA,19,33,14,"What are Pennsylvania's insurance coverage options?","Standard only","Full tort or limited tort options","Only liability","No-fault only",B
RI-013,cellPhone,RI,19,38,19,"What is Rhode Island cell phone law for drivers under 18?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
RI-022,duiStateLaws,RI,19,36,17,"What happens if you refuse a BAC test in Rhode Island?","Warning only","6-month to 1-year license suspension","30 day suspension","Same as passing",B
SD-017,cellPhone,SD,19,42,23,"Does South Dakota have local areas with stricter phone laws?","No state law is uniform","Yes Sioux Falls has hands-free requirement","Only Rapid City","Only in school zones",B
TN-013,cellPhone,TN,19,38,19,"What is Tennessee cell phone law for permit and intermediate drivers?","Hands-free only","No cell phone use at all while driving","Same as adults","Texting only banned",B
